Date : 2021-04-01 10:15:53
Directory : c:\xampp\htdocs\WebBasedHotelReserve\hotel
Total : 484 files,  27530 codes, 10254 comments, 5269 blanks, all 43053 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\PaymentMethodTest.php                              | PHP      |         86 |          4 |         11 |        101 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\PayoutTest.php                                     | PHP      |         80 |          4 |         11 |         95 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\PersonTest.php                                     | PHP      |         49 |          4 |         11 |         64 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\PlanTest.php                                       | PHP      |         73 |          4 |         10 |         87 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\PriceTest.php                                      | PHP      |         66 |          4 |          9 |         79 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\ProductTest.php                                    | PHP      |         69 |          4 |         10 |         83 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\PromotionCodeTest.php                              | PHP      |         60 |          4 |          9 |         73 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Radar\EarlyFraudWarningTest.php                    | PHP      |         26 |          4 |          6 |         36 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Radar\ValueListItemTest.php                        | PHP      |         50 |          4 |          8 |         62 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Radar\ValueListTest.php                            | PHP      |         70 |          4 |         10 |         84 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\RecipientTest.php                                  | PHP      |         70 |          4 |         10 |         84 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\RefundTest.php                                     | PHP      |         59 |          4 |          9 |         72 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Reporting\ReportRunTest.php                        | PHP      |         42 |          4 |          8 |         54 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Reporting\ReportTypeTest.php                       | PHP      |         26 |          4 |          6 |         36 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\ReviewTest.php                                     | PHP      |         36 |          4 |          7 |         47 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\SKUTest.php                                        | PHP      |         75 |          4 |         10 |         89 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\AbstractServiceTest.php                    | PHP      |         63 |         14 |         18 |         95 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\AccountLinkServiceTest.php                 | PHP      |         27 |          9 |          7 |         43 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\AccountServiceTest.php                     | PHP      |        229 |          9 |         28 |        266 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\ApplePayDomainServiceTest.php              | PHP      |         53 |          9 |         11 |         73 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\ApplicationFeeServiceTest.php              | PHP      |         71 |          9 |         13 |         93 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\BalanceServiceTest.php                     | PHP      |         22 |          9 |          7 |         38 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\BalanceTransactionServiceTest.php          | PHP      |         33 |          9 |          9 |         51 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\BillingPortal\ConfigurationServiceTest.php | PHP      |         63 |          9 |         11 |         83 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\BillingPortal\SessionServiceTest.php       | PHP      |         26 |          9 |          8 |         43 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\ChargeServiceTest.php                      | PHP      |         66 |          9 |         12 |         87 |
